table_name,column_name,missing_count
external_factors,competitor_index,0
external_factors,date,0
external_factors,is_holiday,0
external_factors,is_weekend,0
external_factors,promotion_active,0
external_factors,seasonality_index,0
marketing_spend,affiliate_spend,0
marketing_spend,date,0
marketing_spend,display_spend,0
marketing_spend,email_spend,0
marketing_spend,paid_search_spend,0
marketing_spend,paid_social_spend,0
marketing_spend,tv_spend,0
revenue,date,0
revenue,new_customers,0
revenue,revenue,0
revenue,transactions,0
